               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               3.467,              4.9203,              3.0581,             0.51917,             0.41354,             0.35946,             0.16369,                   0,                   0,                   0,            0.070508,           0.0032768,           0.0032768
                   1,              2.8681,               3.201,              2.2678,              0.5252,             0.39088,             0.37799,              0.1598,                   0,                   0,                   0,            0.040487,           0.0065884,           0.0065884
                   2,              2.6222,              3.2052,              2.0727,             0.81439,             0.24079,             0.24388,             0.11976,                   0,                   0,                   0,            0.010443,           0.0098779,           0.0098779
                   3,              2.7628,              3.2218,              2.1289,             0.32998,             0.51837,             0.31337,             0.12368,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              2.7842,              3.1842,              2.1428,              0.3924,             0.48816,             0.43401,             0.20716,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              2.7006,              2.5184,              2.1357,              0.4777,             0.51827,             0.40864,             0.20839,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.6971,              2.4496,              2.1231,             0.32488,             0.54659,             0.48293,             0.21332,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.5897,              2.3743,              2.0013,             0.46229,             0.65215,             0.52787,              0.2416,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.6704,              2.2418,              2.0489,             0.41282,             0.51421,             0.48366,             0.23555,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              2.6553,              2.2546,              1.9908,             0.52959,             0.51935,              0.4825,             0.22268,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,              2.5866,              2.1856,              1.9778,             0.53684,              0.5146,             0.39867,             0.16891,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              2.5755,              2.1754,              1.9416,             0.41635,             0.70449,             0.56439,             0.23513,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,              2.5838,              2.0819,              1.9467,             0.73925,             0.66001,             0.70649,             0.34384,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,              2.6309,              2.0247,              2.0005,             0.69009,             0.58253,             0.63363,             0.28981,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              2.5587,               2.002,              1.9577,             0.60631,             0.67926,             0.64663,             0.29507,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              2.5405,              1.9971,              1.9661,             0.66622,             0.68006,             0.66717,             0.30358,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,              2.5278,              1.9477,              1.9236,              0.6295,             0.62879,              0.6341,             0.28805,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              2.5799,              1.9295,              1.9938,             0.68255,              0.6255,             0.68216,             0.31185,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,              2.5014,              1.9372,              1.9386,             0.70741,             0.60175,             0.64576,             0.27899,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,              2.4651,              1.8862,              1.8987,             0.65073,             0.58287,             0.58778,             0.25818,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,              2.5153,              1.9338,              1.9516,             0.63357,             0.66752,             0.67355,             0.29762,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,              2.5471,              1.9397,              1.9998,             0.78571,             0.66989,             0.72661,             0.30658,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,              2.5577,              1.8516,              1.9154,             0.74802,             0.64318,             0.74366,             0.31552,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,              2.4632,              1.8422,              1.9525,             0.64561,             0.61264,             0.61002,              0.2627,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,              2.4408,               1.845,              1.9007,             0.73687,             0.70139,             0.75777,             0.33874,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,               2.419,              1.8624,              1.8606,             0.69497,             0.73266,             0.70341,             0.32543,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,              2.4207,              1.8501,               1.889,             0.82242,             0.68142,             0.76236,             0.34539,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,              2.4649,              1.7832,              1.8931,             0.69363,              0.6985,             0.71612,             0.33012,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,              2.4068,              1.7808,              1.8769,             0.72259,             0.73344,             0.72142,             0.34168,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  29,              2.4155,              1.7432,              1.8803,             0.75218,             0.67616,             0.71237,             0.33035,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  30,              2.3961,              1.7744,              1.8994,             0.78155,             0.67652,             0.72271,             0.32904,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
