               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.6488,              4.5288,              2.3592,             0.51057,             0.52302,             0.45205,             0.22309,                   0,                   0,                   0,            0.070385,           0.0032906,           0.0032906
                   1,              2.3168,              2.9364,              2.0041,             0.54532,             0.25937,             0.36249,             0.16685,                   0,                   0,                   0,            0.040363,           0.0066021,           0.0066021
                   2,              2.3099,              3.1097,              1.9631,             0.90576,              0.2598,             0.48896,             0.24932,                   0,                   0,                   0,            0.010319,           0.0098915,           0.0098915
                   3,               2.381,              3.0561,              1.9975,             0.48961,             0.56037,             0.35733,             0.18844,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              2.3189,              3.2346,              1.9551,             0.39592,             0.36612,             0.32804,                0.14,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              2.4561,              2.8142,              1.9868,             0.68206,             0.46467,             0.59299,             0.26967,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.4278,              2.5373,              1.9578,             0.50104,              0.6102,             0.53119,             0.24369,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.4897,               2.518,              2.0184,             0.46275,             0.63565,             0.51092,             0.22389,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.5479,              2.4549,              2.0241,             0.64487,              0.4451,             0.51018,             0.23686,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              2.4525,              2.3867,              2.0098,             0.38326,             0.52922,              0.3968,              0.1822,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,              2.5172,              2.3528,              2.0446,             0.45738,             0.52667,             0.54074,             0.26626,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              2.4957,              2.4057,              2.0245,               0.536,             0.64318,             0.58669,             0.25775,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,              2.4631,              2.2798,              1.9622,             0.64414,             0.62961,             0.64507,               0.296,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,               2.525,              2.2546,              1.9926,             0.64886,               0.591,             0.64005,             0.31571,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              2.4635,              2.3171,               2.021,             0.61045,             0.66479,               0.655,             0.32793,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              2.4601,              2.2221,              1.9905,             0.49869,             0.58118,              0.4736,             0.21983,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,              2.3734,              2.1863,              1.9881,             0.47292,              0.6249,             0.50017,             0.24434,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              2.3914,              2.1626,              1.9829,             0.61858,             0.65338,             0.61105,             0.27569,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,              2.3627,              2.1693,              2.0013,             0.47519,             0.63329,              0.5444,             0.27337,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,              2.3559,              2.1436,              1.9752,             0.55463,             0.66325,             0.61408,             0.30821,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,              2.3148,              2.0793,               1.955,             0.69057,               0.723,             0.70822,             0.34463,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,              2.3921,              2.1594,              1.9643,             0.48128,             0.71961,             0.60554,             0.29939,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,              2.3619,              2.1368,              1.9787,             0.46695,             0.57846,             0.50081,             0.24964,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,              2.3188,              2.0134,              1.9118,              0.5923,             0.72098,             0.66113,             0.31028,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,              2.2957,              1.9877,              1.9162,             0.49795,              0.6302,             0.53926,              0.2669,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,              2.3282,              2.0687,              1.9718,             0.69406,             0.58061,             0.65487,             0.32732,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,               2.312,              2.0707,              1.9168,             0.57744,             0.70059,             0.61604,             0.32955,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,              2.2658,              1.9476,              1.8842,             0.51184,             0.69745,             0.60518,             0.30306,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,              2.2429,              1.9866,              1.9256,             0.55462,             0.75231,             0.61474,             0.31543,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  29,              2.2586,              1.9497,              1.9023,             0.48951,             0.71277,             0.63645,             0.32597,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  30,              2.2771,               1.953,              1.9499,             0.53493,             0.77745,             0.64394,             0.31905,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
                  31,              2.2991,              1.9796,              1.9326,             0.63072,             0.65863,               0.655,             0.33384,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  32,              2.1647,              1.8844,              1.9084,             0.73992,             0.72543,             0.72629,             0.36877,                   0,                   0,                   0,            0.008977,            0.008977,            0.008977
                  33,              2.2728,               1.926,              1.9358,             0.54453,             0.58137,             0.61312,             0.32019,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  34,              2.2299,               1.864,              1.8489,              0.6001,             0.67038,             0.63481,             0.32758,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  35,              2.2108,              1.9324,              1.8562,             0.68524,             0.73824,             0.72101,             0.35897,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
